paper_id,important_segment,label,Fold_Id
10.1016/j.jesp.2017.11.013,"Out-group members were described less frequently in terms of their basicmental states (estimated marginal mean = 9.70%) than were in-groupmembers (estimated marginal mean = 27.60%), F (1, 68) = 14.948,p = .000,",0,8
10.1016/j.jesp.2016.11.014,"a signiﬁcantinteraction between weighting bias and trait self-control, β = − 0.26(95% CI: − 0.48, − 0.05), t(68) = − 2.46, p = 0.02",0,4
10.1016/j.jesp.2017.07.008,"Republicans took longer than Democratsto initially disavow Obama political conspiracies, B = 183.81, SE = 40.84,t(4.50), p < .001",1,5
10.1016/j.jesp.2015.11.005,"Interestingly however, asignificant interaction between Action and Causality emerged;F(1176) = 4.12, p = .044",0,6
10.1016/j.jesp.2016.01.014,"Among participants in the high causal uncertainty condition, a significantly greater proportion of participants chose to resume if they were interrupted from a more abstract (vs. more concrete) thinking task (M = 78.95% vs. M = 47.83%; B = − 1.41, SE = .70, Wald = 4.04, p = .04, OR = 4.09)",0,10
10.1016/j.jesp.2016.02.008,"Boys underperformed relative to girls under threat condition (“reading test” condition), b = − 4.87,t(67) = − 2.63, p = .011",0,10
10.1016/j.jesp.2015.11.008,"Most importantly, there | was a significant certainty × objective ambivalence interaction, B = .04,t(169) = 2.28, p = .02, 95% CI: [.01, .07].",0,8
10.1016/j.jesp.2015.04.001,"Both interactions were significant but inopposite directions (ideologically-irrelevant: Binteraction = − .39, SE =.18, t = − 2.17, p = .03, [CI] = [− 0.74, − .04]",0,1
10.1016/j.jesp.2013.05.014,"As predicted, mortality salience/control deprivation increased perceptions of randomness uniquely through thoughts of low control | thoughts of low control indirect effect = 0.24, 95% CI [0.02, 0.56]",0,2
10.1016/j.jesp.2011.12.005,"participants fixated the expected schematic cue earlier with increasing rape myth acceptance (RMA), leading to a negative correlation between RMA and total time (in ms) before the first fixation of the bottle of wine, r(24) = −.36, p < .05, one-tailed.",0,1
10.1016/j.jesp.2012.02.002,"when expectations of success werelow (expectations = 1), students in the mental contrasting conditionshowed weaker obstacle–behavior associations effects than those in the irrelevant content control condition, t(90) = 2.45, p = 0.02.",0,9
10.1016/j.jesp.2010.11.006,"An ANOVA revealed that power priming influenced participants' empathic concern, F(1,34) = 5.76, p = .022, partial eta squared = .15",0,5
