paper_id,important_segment,label,Fold_Id
2,"as words appears to be straightforward, the results have been mixed, largely because much of the evidence to date has been obtained by using the lexical decision task—a task influenced by lexicality and familiarity (Balota & Chumbley, 1984; Bodner & Masson, 1997; Bowers, 1994; Feustel, Shiffrin, & Salasoo, 1983; Forster, 1998). Similarly, demonstrations of reliable masked repetition priming for nonwords in the naming task (Masson & Isaak, 1999) may simply reflect facilitation of articulatory processes (Forster, 1998). Repetition blindness paradigms (RB; Kanwisher, 1987) offer another opportunity to investigate the role of lexical and sublexical representations in short-term repetition effects. When",1.0,10.0
3,"previous version of this article. Correspondence concerning this article should be addressed to Baptist Liefooghe, Department of Experimental Psychology, Ghent University, Henri Dunantlaan 2, 9000, B-Ghent, Belgium. E-mail: Baptist.Liefooghe@UGent.be Journal of Experimental Psychology: Copyright 2008 by the American Psychological Association Learning, Memory, and Cognition 2008, Vol. 34, No. 3, 478–494 0278-7393/08/$12.00 DOI: 10.1037/0278-7393.34.3.478 478 accounts thus converge on the assumption that working memory mediates task set reconfiguration (e.g., Mayr & Kliegl, 2000, 2003; Rubinstein et al., 2001). Even though the view of working memory functioning as being an essential source of the switch cost has been frequently endorsed, its involvement",0.0,7.0
4,"forgetting is as important a function as recollecting” (p. 679). Memories become irrelevant and outdated, and without some means of forgetting or setting aside such memories, learning and accessing new and relevant memories would become steadily more difficult. One way in which it appears that this form of goal-directed forgetting is accomplished is through retrieval inhibition (e.g., E. L. Bjork, Bjork, & Anderson, 1998; R. A. Bjork, 1989) or the executive control processes of inhibition (Anderson, 2003). As proposed by these researchers, in searching for a particular item in memory, other items that are related, but incorrect, can vie for",1.0,6.0
8,"(e.g., Spaniol & Bayen, 2002). Specifically, when participants fail to recollect source-identifying information about a test item, they guess a source by responding in a way that matches their sense of the likelihood or probability that the test item is associated with a particular source (e.g., “I can’t remember who presented this item, but I know that Jane’s a doctor. Therefore, she likely presented this doctor-like sentence”), thus producing stereotype-biased performance (Spaniol & Bayen, 2002; see Dodson & Johnson, 1996, for a related view). Researchers within social psychology have reached similar conclusions about the influence of stereotypes and expectations on",1.0,8.0
10,"numerical dimension in different notation pairs. In the same–different paradigm, 2 digits were presented either in the same or in different notations. Participants had to indicate whether the 2 digits were physically the same. The results again showed evidence for the automatic processing of numerical magnitude for pairs in different notations. Findings of both experiments suggest that numbers in different notations are automatically translated into a common representation of magnitude, in line with M. McCloskey’s (1992) abstract representation model. Keywords: automaticity, numerical processing, numerical notations Numerical information appears in different formats, such as Arabic digits (e.g., 34), words (e.g., thirty-four),",1.0,1.0
11,"validated featurebased semantic representations as a basis for computing semantic neighborhood density and suggested that near and distant neighbors have opposite effects on word processing. Experiment 2 confirmed these results: Word processing was slower for dense near neighborhoods and faster for dense distant neighborhoods. Analysis of a computational model showed that attractor dynamics can produce this pattern of neighborhood effects. The authors argue for reconsideration of traditional models of neighborhood effects in terms of attractor dynamics, which allow both inhibitory and facilitative effects to emerge. Keywords: semantics, neighborhood density, word recognition, attractor networks Semantic processing is a crucial, yet poorly",1.0,1.0
19,"each paradigm. Similarity is computed as an exponentially decreasing function of the distance between the probe and each list episode i: simprobe,i exp c u Ditem probe,i 1 u Dctx probe,i , (2) with Ditem representing the distance between the probe and an episode i on the dimension of item identity, and Dctx representing their distance on the context dimension. For simplicity, I coded D as 0 for a match and as 1 for a mismatch between the probe and an episode on the relevant dimension.1 The free parameter u represents the weight of item matches relative to context matches,",1.0,10.0
20,"The results revealed greater directed forgetting of strong items compared with weak items, but only when strength was varied via spaced presentations (Experiment 3). Equivalent directed forgetting was observed for strong and weak items when strengthening operations increased item strength without affecting the context strength (Experiments 1 and 2). These results supported the context hypothesis of directed forgetting (L. Sahakyan & C. M. Kelley, 2002). Keywords: directed forgetting, context change, list-strength effect, spacing effect Are some things easier to deliberately forget than others? We will propose that the answer to this question is yes and that the kinds of things",0.0,9.0
26,"read a class of stimuli correctly and decreased when it cannot generate a correct pronunciation for that class of stimuli. The pathway control hypothesis makes a number of straightforward predictions in the context of DRC. Namely, the nonlexical pathway will be emphasized when nonwords are read aloud because it is required to generate a correct pronunciation for items not represented in the orthographic and phonological lexicons. Similarly, the lexical pathway will be emphasized when exception words are read aloud because it is required to generate a correct pronunciation for words that do not follow the model’s grapheme– phoneme conversion rules.",1.0,4.0
27,"identification, and classification), and concluded that the stage model provided a better account of empirical additive effects and that the cascade model incorrectly predicted the relations between means and variances (see Roberts & Sternberg, 1993, and Yap & Balota, 2007, for more in-depth discussion). Melvin Yap, and David Balota Department of Psychology, Washington University, Chi-Shing Tse Department of Psychology, University at Albany, State University of New York; Derek Besner, Department of Psychology, University of Waterloo, Ontario, Canada. Melvin Yap is now at the Department of Psychology, National University of Singapore, Republic of Singapore; Chi-Shing Tse is now at the Department",1.0,4.0
