paper_id,important_segment,label,Fold_Id
1,"effects were obtained when both pictures were named. When pictures with superimposed distractor words were named or the words were read in Experiment 3, the words influenced the latencies of gaze shifting and picture naming, but the pictures yielded no such latency effects in word reading. The picture–word asymmetry was obtained even with equivalent reading and naming latencies. The picture–picture effects suggest that activation spreads continuously from concepts to phonological forms, whereas the picture–word asymmetry indicates that the amount of activation is limited and task dependent. Keywords: attention, cascade processing, eye movements, word production Does activation spread in an automatic",1.0,7.0
2,"as words appears to be straightforward, the results have been mixed, largely because much of the evidence to date has been obtained by using the lexical decision task—a task influenced by lexicality and familiarity (Balota & Chumbley, 1984; Bodner & Masson, 1997; Bowers, 1994; Feustel, Shiffrin, & Salasoo, 1983; Forster, 1998). Similarly, demonstrations of reliable masked repetition priming for nonwords in the naming task (Masson & Isaak, 1999) may simply reflect facilitation of articulatory processes (Forster, 1998). Repetition blindness paradigms (RB; Kanwisher, 1987) offer another opportunity to investigate the role of lexical and sublexical representations in short-term repetition effects. When",1.0,10.0
3,"previous version of this article. Correspondence concerning this article should be addressed to Baptist Liefooghe, Department of Experimental Psychology, Ghent University, Henri Dunantlaan 2, 9000, B-Ghent, Belgium. E-mail: Baptist.Liefooghe@UGent.be Journal of Experimental Psychology: Copyright 2008 by the American Psychological Association Learning, Memory, and Cognition 2008, Vol. 34, No. 3, 478–494 0278-7393/08/$12.00 DOI: 10.1037/0278-7393.34.3.478 478 accounts thus converge on the assumption that working memory mediates task set reconfiguration (e.g., Mayr & Kliegl, 2000, 2003; Rubinstein et al., 2001). Even though the view of working memory functioning as being an essential source of the switch cost has been frequently endorsed, its involvement",0.0,7.0
6,"The authors’ simulations suggest, contrary to previous interpretations, that these results are consistent with a single-system account. Keywords: fluency, repetition priming, recognition, computational model The question of whether repetition priming and recognition are mediated by independent or related memory processes has received much attention and has played a key role in the development of theories of the organization of memory. Repetition priming is the term used to refer to a change in identification, detection, or production of an item (e.g., a word) as a result of prior exposure to the same or a similar item, whereas recognition memory typically refers",1.0,9.0
7,"long items, and also correctly predicts that participants performing less well overall demonstrate smaller and less reliable phonological similarity and word-length effects and are more likely to show reversals. These patterns appear within the model without the need to assume a change in encoding or rehearsal strategy or the deployment of a different storage buffer. The implications of these results and the wider applicability of the distributionmodeling approach are discussed. Keywords: memory modeling, individual differences, immediate recall A number of phenomena are assumed to typify the functioning of immediate memory, including the acoustic confusion or phonological similarity effect (PSE; reduced",1.0,7.0
10,"numerical dimension in different notation pairs. In the same–different paradigm, 2 digits were presented either in the same or in different notations. Participants had to indicate whether the 2 digits were physically the same. The results again showed evidence for the automatic processing of numerical magnitude for pairs in different notations. Findings of both experiments suggest that numbers in different notations are automatically translated into a common representation of magnitude, in line with M. McCloskey’s (1992) abstract representation model. Keywords: automaticity, numerical processing, numerical notations Numerical information appears in different formats, such as Arabic digits (e.g., 34), words (e.g., thirty-four),",1.0,1.0
15,"a reanalysis of data from Jacoby, Lindsay, and Hessels (2003). We then report new experiments from our own laboratory whose results are consistent with the contingency hypothesis of Schmidt et al. but are very problematic for the long-standing modulation hypothesis. Possible mechanisms by which participants use contingency information to control responding are considered, and one of them is tested. Both the response time and error data are consistent with this proposed mechanism. We suggest that the modulation account of the proportion congruency effect, dominant for over 20 years, has run its course. Instead, we argue that the data are better",1.0,4.0
19,"each paradigm. Similarity is computed as an exponentially decreasing function of the distance between the probe and each list episode i: simprobe,i exp c u Ditem probe,i 1 u Dctx probe,i , (2) with Ditem representing the distance between the probe and an episode i on the dimension of item identity, and Dctx representing their distance on the context dimension. For simplicity, I coded D as 0 for a match and as 1 for a mismatch between the probe and an episode on the relevant dimension.1 The free parameter u represents the weight of item matches relative to context matches,",1.0,10.0
20,"The results revealed greater directed forgetting of strong items compared with weak items, but only when strength was varied via spaced presentations (Experiment 3). Equivalent directed forgetting was observed for strong and weak items when strengthening operations increased item strength without affecting the context strength (Experiments 1 and 2). These results supported the context hypothesis of directed forgetting (L. Sahakyan & C. M. Kelley, 2002). Keywords: directed forgetting, context change, list-strength effect, spacing effect Are some things easier to deliberately forget than others? We will propose that the answer to this question is yes and that the kinds of things",0.0,9.0
24,"review, see Bassok, 2001). In the next section, we present some illustrative examples from this prior work. Then, we report results from two relational priming experiments in which pairs of word primes that were semantically aligned and misaligned with addition modulated automatic activation of addition facts. In the General Discussion section, we suggest that the semantic and the arithmetic memory networks do not just share analogous representations of interrelated concepts but are actually coordinated with each other via analogous semantic and arithmetic relations. Semantic Alignments in Mathematical Word Problems People have extensive experience with mathematical applications, whether they are solving",1.0,3.0
